,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
0,Medytony___L.U.C.,2021-12-27 13:18,L.U.C.,Medytony,560,2021-12-27 13:18:00,0.193,0.0117,0,-29.252,0,0.0432,0.862,0.894,0.178,0.0377,73.199,audio_features,3huY9rsjr5RX7s9CqPyGsf,spotify:track:3huY9rsjr5RX7s9CqPyGsf,https://api.spotify.com/v1/tracks/3huY9rsjr5RX7s9CqPyGsf,https://api.spotify.com/v1/audio-analysis/3huY9rsjr5RX7s9CqPyGsf,185120,4,PyyKyCyKyTyPff,1R5nMnY8bxjrqKAKRIXtZn
1,Medytony___L.U.C.,2021-12-27 13:40,L.U.C.,Medytony,41292,2021-12-27 13:40:00,0.193,0.0117,0,-29.252,0,0.0432,0.862,0.894,0.178,0.0377,73.199,audio_features,3huY9rsjr5RX7s9CqPyGsf,spotify:track:3huY9rsjr5RX7s9CqPyGsf,https://api.spotify.com/v1/tracks/3huY9rsjr5RX7s9CqPyGsf,https://api.spotify.com/v1/audio-analysis/3huY9rsjr5RX7s9CqPyGsf,185120,4,PyyKyCyKyTyPff,1R5nMnY8bxjrqKAKRIXtZn
2,Niebo___Monika Fortuniak,2021-12-27 14:02,Monika Fortuniak,Niebo,66273,2021-12-27 14:02:00,0.588,0.455,0,-10.784,1,0.0403,0.332,0.134,0.205,0.186,108.059,audio_features,4srUcUkIP3NejBuRvQz3Gv,spotify:track:4srUcUkIP3NejBuRvQz3Gv,https://api.spotify.com/v1/tracks/4srUcUkIP3NejBuRvQz3Gv,https://api.spotify.com/v1/audio-analysis/4srUcUkIP3NejBuRvQz3Gv,254383,4,Ministory,6PU2uJ7Mhd6Y0jwqfzC5Kl
3,Way down We Go___KALEO,2022-01-07 09:46,KALEO,Way down We Go,219560,2022-01-07 09:46:00,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,audio_features,0y1QJc3SJVPKJ1OvFmFqe6,spotify:track:0y1QJc3SJVPKJ1OvFmFqe6,https://api.spotify.com/v1/tracks/0y1QJc3SJVPKJ1OvFmFqe6,https://api.spotify.com/v1/audio-analysis/0y1QJc3SJVPKJ1OvFmFqe6,213707,4,A/B,4he4SQup02hEIQdwhZlZlk
4,All the Pretty Girls___KALEO,2022-01-07 09:50,KALEO,All the Pretty Girls,190730,2022-01-07 09:50:00,0.466,0.496,1,-6.606,1,0.0302,0.626,6.22e-06,0.117,0.352,74.747,audio_features,0QQIhT6PtJ5glyn4HKNKQ6,spotify:track:0QQIhT6PtJ5glyn4HKNKQ6,https://api.spotify.com/v1/tracks/0QQIhT6PtJ5glyn4HKNKQ6,https://api.spotify.com/v1/audio-analysis/0QQIhT6PtJ5glyn4HKNKQ6,269893,4,A/B,4he4SQup02hEIQdwhZlZlk
5,Brother Run Fast___KALEO,2022-01-07 09:54,KALEO,Brother Run Fast,223843,2022-01-07 09:54:00,0.592,0.323,10,-10.217,0,0.0454,0.725,0.00011,0.0752,0.184,129.902,audio_features,2MPMTqQ1lC8IuagDsd46bE,spotify:track:2MPMTqQ1lC8IuagDsd46bE,https://api.spotify.com/v1/tracks/2MPMTqQ1lC8IuagDsd46bE,https://api.spotify.com/v1/audio-analysis/2MPMTqQ1lC8IuagDsd46bE,223843,4,Surface Sounds,1ZuNUNl8jvYmW4w1lR2CW3
6,Break My Baby___KALEO,2022-01-07 09:59,KALEO,Break My Baby,265558,2022-01-07 09:59:00,0.529,0.755,10,-3.917,0,0.0383,0.106,0.000607,0.157,0.383,73.998,audio_features,5NnFkbEjahUGx5T3qxbNCW,spotify:track:5NnFkbEjahUGx5T3qxbNCW,https://api.spotify.com/v1/tracks/5NnFkbEjahUGx5T3qxbNCW,https://api.spotify.com/v1/audio-analysis/5NnFkbEjahUGx5T3qxbNCW,265558,4,I Want More / Break My Baby,0zohDZP7J5cZe6cN5jjIaY
7,Alter Ego___KALEO,2022-01-07 10:03,KALEO,Alter Ego,248132,2022-01-07 10:03:00,0.543,0.739,1,-5.618,1,0.0399,0.00379,2.29e-06,0.343,0.665,122.016,audio_features,2cop97v0W8YcsI7KBvOrUu,spotify:track:2cop97v0W8YcsI7KBvOrUu,https://api.spotify.com/v1/tracks/2cop97v0W8YcsI7KBvOrUu,https://api.spotify.com/v1/audio-analysis/2cop97v0W8YcsI7KBvOrUu,248133,4,Surface Sounds,1ZuNUNl8jvYmW4w1lR2CW3
8,Free the Slave___KALEO,2022-01-07 10:07,KALEO,Free the Slave,248022,2022-01-07 10:07:00,0.346,0.664,9,-6.237,0,0.0397,0.515,0.0518,0.0653,0.386,145.94,audio_features,4Ux0OxCoPN8SZ9SWbGKbtT,spotify:track:4Ux0OxCoPN8SZ9SWbGKbtT,https://api.spotify.com/v1/tracks/4Ux0OxCoPN8SZ9SWbGKbtT,https://api.spotify.com/v1/audio-analysis/4Ux0OxCoPN8SZ9SWbGKbtT,248022,4,Surface Sounds,1ZuNUNl8jvYmW4w1lR2CW3
9,Skinny___KALEO,2022-01-07 10:11,KALEO,Skinny,222316,2022-01-07 10:11:00,0.484,0.741,2,-5.298,1,0.0411,0.0228,0.000164,0.31,0.137,85.076,audio_features,08CVVZ9HYOXzPRAIV0w8nq,spotify:track:08CVVZ9HYOXzPRAIV0w8nq,https://api.spotify.com/v1/tracks/08CVVZ9HYOXzPRAIV0w8nq,https://api.spotify.com/v1/audio-analysis/08CVVZ9HYOXzPRAIV0w8nq,222317,4,Skinny,4B4UxXtd4JaYNtaAN6ZNEQ
10,Hey Gringo___KALEO,2022-01-07 10:44,KALEO,Hey Gringo,284798,2022-01-07 10:44:00,0.748,0.704,5,-4.512,0,0.0344,0.0741,0.0,0.088,0.823,110.028,audio_features,4aPeeN8IYOCMNBGI0p7169,spotify:track:4aPeeN8IYOCMNBGI0p7169,https://api.spotify.com/v1/tracks/4aPeeN8IYOCMNBGI0p7169,https://api.spotify.com/v1/audio-analysis/4aPeeN8IYOCMNBGI0p7169,284799,4,Surface Sounds,1ZuNUNl8jvYmW4w1lR2CW3
11,My Fair Lady___KALEO,2022-01-07 10:51,KALEO,My Fair Lady,223177,2022-01-07 10:51:00,0.586,0.277,8,-6.094,1,0.0361,0.784,1e-06,0.177,0.207,118.627,audio_features,5zhoaTLrDcIE0hZ790b9kI,spotify:track:5zhoaTLrDcIE0hZ790b9kI,https://api.spotify.com/v1/tracks/5zhoaTLrDcIE0hZ790b9kI,https://api.spotify.com/v1/audio-analysis/5zhoaTLrDcIE0hZ790b9kI,223177,4,Surface Sounds,1ZuNUNl8jvYmW4w1lR2CW3
12,I Want More___KALEO,2022-01-07 11:11,KALEO,I Want More,212392,2022-01-07 11:11:00,0.55,0.531,8,-7.431,1,0.0309,0.256,0.0,0.0509,0.364,98.014,audio_features,4xQRRue5qsu2tULiz7UDKi,spotify:track:4xQRRue5qsu2tULiz7UDKi,https://api.spotify.com/v1/tracks/4xQRRue5qsu2tULiz7UDKi,https://api.spotify.com/v1/audio-analysis/4xQRRue5qsu2tULiz7UDKi,212393,4,I Want More / Break My Baby,0zohDZP7J5cZe6cN5jjIaY
13,Backbone___KALEO,2022-01-07 11:15,KALEO,Backbone,232529,2022-01-07 11:15:00,0.539,0.307,10,-10.044,0,0.0305,0.475,1.59e-06,0.186,0.116,127.658,audio_features,20V7jjW1DI9P4W4oHrn0T4,spotify:track:20V7jjW1DI9P4W4oHrn0T4,https://api.spotify.com/v1/tracks/20V7jjW1DI9P4W4oHrn0T4,https://api.spotify.com/v1/audio-analysis/20V7jjW1DI9P4W4oHrn0T4,232529,4,Backbone,3qKhKWdMfWfpxhUgUh0vt0
14,I Walk on Water___KALEO,2022-01-07 11:21,KALEO,I Walk on Water,341979,2022-01-07 11:21:00,0.53,0.44,8,-9.514,1,0.0436,0.25,0.000209,0.108,0.136,124.004,audio_features,5jOWcp8CkodjVCLuxZHCqR,spotify:track:5jOWcp8CkodjVCLuxZHCqR,https://api.spotify.com/v1/tracks/5jOWcp8CkodjVCLuxZHCqR,https://api.spotify.com/v1/audio-analysis/5jOWcp8CkodjVCLuxZHCqR,341979,4,Surface Sounds,1ZuNUNl8jvYmW4w1lR2CW3
15,Into My Mother's Arms___KALEO,2022-01-07 11:24,KALEO,Into My Mother's Arms,196202,2022-01-07 11:24:00,0.438,0.168,0,-9.299,0,0.0527,0.931,1.81e-05,0.131,0.221,72.957,audio_features,45CtXS6ShntJUFCyWyCHnC,spotify:track:45CtXS6ShntJUFCyWyCHnC,https://api.spotify.com/v1/tracks/45CtXS6ShntJUFCyWyCHnC,https://api.spotify.com/v1/audio-analysis/45CtXS6ShntJUFCyWyCHnC,196203,4,Surface Sounds,1ZuNUNl8jvYmW4w1lR2CW3
16,Broken Bones___KALEO,2022-01-07 11:28,KALEO,Broken Bones,245960,2022-01-07 11:28:00,0.779,0.486,5,-7.205,1,0.193,0.802,5.76e-05,0.0992,0.654,123.993,audio_features,0lwUIYJfWGB8qUEAJtYfb6,spotify:track:0lwUIYJfWGB8qUEAJtYfb6,https://api.spotify.com/v1/tracks/0lwUIYJfWGB8qUEAJtYfb6,https://api.spotify.com/v1/audio-analysis/0lwUIYJfWGB8qUEAJtYfb6,245960,4,A/B,4he4SQup02hEIQdwhZlZlk
17,River___Bishop Briggs,2022-01-07 11:50,Bishop Briggs,River,116330,2022-01-07 11:50:00,0.733,0.477,2,-6.737,0,0.0687,0.302,2.97e-06,0.0579,0.545,62.507,audio_features,3mRLHiSHYtC8Hk7bzZdUs1,spotify:track:3mRLHiSHYtC8Hk7bzZdUs1,https://api.spotify.com/v1/tracks/3mRLHiSHYtC8Hk7bzZdUs1,https://api.spotify.com/v1/audio-analysis/3mRLHiSHYtC8Hk7bzZdUs1,216133,4,Church Of Scars,1TTxcgs3zEngN0EB56yXzY
18,Overture___AJR,2022-01-07 11:55,AJR,Overture,214400,2022-01-07 11:55:00,0.381,0.65,7,-4.266,1,0.038,0.132,1.19e-06,0.0369,0.312,132.205,audio_features,0M3bFM31Q3jSMxXBbrwSdF,spotify:track:0M3bFM31Q3jSMxXBbrwSdF,https://api.spotify.com/v1/tracks/0M3bFM31Q3jSMxXBbrwSdF,https://api.spotify.com/v1/audio-analysis/0M3bFM31Q3jSMxXBbrwSdF,214400,4,The Click,2nwTJuSqvCygeyI8U7vpeI
19,The Good Part___AJR,2022-01-07 11:59,AJR,The Good Part,227266,2022-01-07 11:59:00,0.287,0.473,5,-3.551,1,0.034,0.0858,4.4e-05,0.383,0.577,186.283,audio_features,0dgrFwOa0RrFzWcM0azTzx,spotify:track:0dgrFwOa0RrFzWcM0azTzx,https://api.spotify.com/v1/tracks/0dgrFwOa0RrFzWcM0azTzx,https://api.spotify.com/v1/audio-analysis/0dgrFwOa0RrFzWcM0azTzx,227267,4,The Click,2nwTJuSqvCygeyI8U7vpeI
20,Weak___AJR,2022-01-07 12:02,AJR,Weak,201160,2022-01-07 12:02:00,0.673,0.637,5,-4.518,1,0.0429,0.137,0.0,0.184,0.678,123.98,audio_features,3BuLtAmXKy5uQYl4ED1zBT,spotify:track:3BuLtAmXKy5uQYl4ED1zBT,https://api.spotify.com/v1/tracks/3BuLtAmXKy5uQYl4ED1zBT,https://api.spotify.com/v1/audio-analysis/3BuLtAmXKy5uQYl4ED1zBT,201160,4,The Click,2nwTJuSqvCygeyI8U7vpeI
21,Sober Up (feat. Rivers Cuomo)___AJR,2022-01-07 12:06,AJR,Sober Up (feat. Rivers Cuomo),218760,2022-01-07 12:06:00,0.647,0.616,5,-4.948,1,0.0272,0.277,0.0,0.0816,0.79,93.019,audio_features,7bXvOMQ3UrcTS1dO9Ppzsg,spotify:track:7bXvOMQ3UrcTS1dO9Ppzsg,https://api.spotify.com/v1/tracks/7bXvOMQ3UrcTS1dO9Ppzsg,https://api.spotify.com/v1/audio-analysis/7bXvOMQ3UrcTS1dO9Ppzsg,218760,4,The Click,2nwTJuSqvCygeyI8U7vpeI
22,Drama___AJR,2022-01-07 12:09,AJR,Drama,204426,2022-01-07 12:09:00,0.633,0.655,5,-6.653,0,0.0622,0.375,0.0,0.145,0.512,74.052,audio_features,6FcNLunvzsHCVVf4TGYULM,spotify:track:6FcNLunvzsHCVVf4TGYULM,https://api.spotify.com/v1/tracks/6FcNLunvzsHCVVf4TGYULM,https://api.spotify.com/v1/audio-analysis/6FcNLunvzsHCVVf4TGYULM,225641,4,K-12,1KerGJUScYGffP3Mjmjz8c
23,Turning Out___AJR,2022-01-07 12:14,AJR,Turning Out,260960,2022-01-07 12:14:00,0.603,0.516,3,-5.49,1,0.036,0.157,0.0,0.131,0.385,97.001,audio_features,5tjgHs2wxXAUnf3PFCDWEB,spotify:track:5tjgHs2wxXAUnf3PFCDWEB,https://api.spotify.com/v1/tracks/5tjgHs2wxXAUnf3PFCDWEB,https://api.spotify.com/v1/audio-analysis/5tjgHs2wxXAUnf3PFCDWEB,260960,4,The Click,2nwTJuSqvCygeyI8U7vpeI
24,No Grass Today___AJR,2022-01-07 12:18,AJR,No Grass Today,259120,2022-01-07 12:18:00,0.702,0.547,10,-4.797,1,0.0386,0.248,0.0,0.44,0.597,92.028,audio_features,0ETUtxLFEUrTQkVdW75YIm,spotify:track:0ETUtxLFEUrTQkVdW75YIm,https://api.spotify.com/v1/tracks/0ETUtxLFEUrTQkVdW75YIm,https://api.spotify.com/v1/audio-analysis/0ETUtxLFEUrTQkVdW75YIm,259120,4,The Click,2nwTJuSqvCygeyI8U7vpeI
25,Three-Thirty___AJR,2022-01-07 12:30,AJR,Three-Thirty,210280,2022-01-07 12:30:00,0.656,0.681,6,-4.282,0,0.135,0.3,0.0,0.246,0.68,95.959,audio_features,52fjMvE3YNk7lhaxtmVVKv,spotify:track:52fjMvE3YNk7lhaxtmVVKv,https://api.spotify.com/v1/tracks/52fjMvE3YNk7lhaxtmVVKv,https://api.spotify.com/v1/audio-analysis/52fjMvE3YNk7lhaxtmVVKv,210280,4,The Click,2nwTJuSqvCygeyI8U7vpeI
26,Call My Dad___AJR,2022-01-07 12:32,AJR,Call My Dad,135693,2022-01-07 12:32:00,0.619,0.206,2,-10.758,1,0.245,0.685,0.0,0.133,0.357,70.928,audio_features,4CZRLZfFQrgsGp1idffY95,spotify:track:4CZRLZfFQrgsGp1idffY95,https://api.spotify.com/v1/tracks/4CZRLZfFQrgsGp1idffY95,https://api.spotify.com/v1/audio-analysis/4CZRLZfFQrgsGp1idffY95,135693,5,The Click,2nwTJuSqvCygeyI8U7vpeI
27,I'm Not Famous___AJR,2022-01-07 12:36,AJR,I'm Not Famous,220453,2022-01-07 12:36:00,0.636,0.855,5,-4.19,1,0.0593,0.00134,0.0,0.31,0.649,95.119,audio_features,2phl4xGeVfWAzEEAJiesVV,spotify:track:2phl4xGeVfWAzEEAJiesVV,https://api.spotify.com/v1/tracks/2phl4xGeVfWAzEEAJiesVV,https://api.spotify.com/v1/audio-analysis/2phl4xGeVfWAzEEAJiesVV,220453,4,The Click,2nwTJuSqvCygeyI8U7vpeI
28,Netflix Trip___AJR,2022-01-07 12:46,AJR,Netflix Trip,237786,2022-01-07 12:46:00,0.463,0.734,7,-3.506,1,0.0436,0.0413,0.0,0.174,0.46,94.967,audio_features,3cWO4Moun8JYsXA0BcPLBC,spotify:track:3cWO4Moun8JYsXA0BcPLBC,https://api.spotify.com/v1/tracks/3cWO4Moun8JYsXA0BcPLBC,https://api.spotify.com/v1/audio-analysis/3cWO4Moun8JYsXA0BcPLBC,237787,4,The Click,2nwTJuSqvCygeyI8U7vpeI
29,Bud Like You___AJR,2022-01-07 12:47,AJR,Bud Like You,44523,2022-01-07 12:47:00,0.619,0.595,2,-3.634,1,0.0472,0.0697,0.0,0.637,0.695,124.981,audio_features,2ynFHEs826lmtQYtUizmX3,spotify:track:2ynFHEs826lmtQYtUizmX3,https://api.spotify.com/v1/tracks/2ynFHEs826lmtQYtUizmX3,https://api.spotify.com/v1/audio-analysis/2ynFHEs826lmtQYtUizmX3,230920,4,The Click,2nwTJuSqvCygeyI8U7vpeI
