,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
0,"Rhythm Is A Dancer - 7"" Edit___SNAP!",2022-01-12 10:09,SNAP!,"Rhythm Is A Dancer - 7"" Edit",124020,2022-01-12 10:09:00,0.794,0.745,9,-11.367,0,0.037,0.273,0.000414,0.143,0.706,124.249,audio_features,4RADreHMvMkZwsPgPr9z5c,spotify:track:4RADreHMvMkZwsPgPr9z5c,https://api.spotify.com/v1/tracks/4RADreHMvMkZwsPgPr9z5c,https://api.spotify.com/v1/audio-analysis/4RADreHMvMkZwsPgPr9z5c,225882,4,The Madman's Return,2TrNT4qm7qDIRTUVn9jBW4
1,Rythm Is a Dancer___Pat Benesta,2022-01-12 11:54,Pat Benesta,Rythm Is a Dancer,31530,2022-01-12 11:54:00,0.685,0.703,9,-14.959,0,0.0319,0.0291,0.149,0.363,0.83,125.711,audio_features,0N8vCa2J7fPaLQQAGB72Vt,spotify:track:0N8vCa2J7fPaLQQAGB72Vt,https://api.spotify.com/v1/tracks/0N8vCa2J7fPaLQQAGB72Vt,https://api.spotify.com/v1/audio-analysis/0N8vCa2J7fPaLQQAGB72Vt,203160,4,"Techno Dance, Vol. 9",7fFDtmDIsEg8rYXzxZbhJH
2,DRUM GO DUM___K/DA,2022-01-12 12:04,K/DA,DRUM GO DUM,200914,2022-01-12 12:04:00,0.608,0.939,11,-4.723,0,0.0579,0.0116,0.0398,0.0656,0.403,175.028,audio_features,2JV5OBqTMW1F6PYOGZJatP,spotify:track:2JV5OBqTMW1F6PYOGZJatP,https://api.spotify.com/v1/tracks/2JV5OBqTMW1F6PYOGZJatP,https://api.spotify.com/v1/audio-analysis/2JV5OBqTMW1F6PYOGZJatP,200914,4,ALL OUT,26IdRjba8f8DNa7c0FwfQb
3,ULALA___Żabson,2022-01-12 12:07,Żabson,ULALA,178560,2022-01-12 12:07:00,0.823,0.709,9,-6.744,1,0.244,0.155,4.46e-06,0.67,0.606,166.074,audio_features,3R1kRWGWXEEdWZGfZaXihP,spotify:track:3R1kRWGWXEEdWZGfZaXihP,https://api.spotify.com/v1/tracks/3R1kRWGWXEEdWZGfZaXihP,https://api.spotify.com/v1/audio-analysis/3R1kRWGWXEEdWZGfZaXihP,178560,4,Ziomalski Mixtape,0wQB9uv8pVexo31itgCXxn
4,Więcej___DZIARMA,2022-01-12 12:10,DZIARMA,Więcej,189573,2022-01-12 12:10:00,0.754,0.616,8,-6.965,1,0.249,0.0123,1.34e-06,0.108,0.54,123.983,audio_features,6jBrLo04QXIU561bEdZbkG,spotify:track:6jBrLo04QXIU561bEdZbkG,https://api.spotify.com/v1/tracks/6jBrLo04QXIU561bEdZbkG,https://api.spotify.com/v1/audio-analysis/6jBrLo04QXIU561bEdZbkG,189573,4,DZIARMA,3M2jL4tMc6m3aIFYm7MpAk
5,Louboutin___DZIARMA,2022-01-12 12:24,DZIARMA,Louboutin,174373,2022-01-12 12:24:00,0.831,0.591,11,-6.526,0,0.208,0.152,0.0,0.0662,0.424,126.019,audio_features,0JNyBvVyQ5awHtRLsiKrKL,spotify:track:0JNyBvVyQ5awHtRLsiKrKL,https://api.spotify.com/v1/tracks/0JNyBvVyQ5awHtRLsiKrKL,https://api.spotify.com/v1/audio-analysis/0JNyBvVyQ5awHtRLsiKrKL,174373,4,DZIARMA,3M2jL4tMc6m3aIFYm7MpAk
6,Siebie zapytasz___sanah,2022-01-12 12:35,sanah,Siebie zapytasz,228824,2022-01-12 12:35:00,0.609,0.524,11,-7.576,0,0.034,0.827,0.000229,0.0964,0.403,171.934,audio_features,0t1aCAoSZfup7J3mPIyijI,spotify:track:0t1aCAoSZfup7J3mPIyijI,https://api.spotify.com/v1/tracks/0t1aCAoSZfup7J3mPIyijI,https://api.spotify.com/v1/audio-analysis/0t1aCAoSZfup7J3mPIyijI,228825,4,Królowa dram,57y8HhpAZJ7SkeetSXvTya
7,2:00___sanah,2022-01-12 12:38,sanah,2:00,199555,2022-01-12 12:38:00,0.601,0.122,3,-11.68,0,0.04,0.889,0.000712,0.169,0.212,119.698,audio_features,4s0LlMTMlsd6OrrcWJeKMI,spotify:track:4s0LlMTMlsd6OrrcWJeKMI,https://api.spotify.com/v1/tracks/4s0LlMTMlsd6OrrcWJeKMI,https://api.spotify.com/v1/audio-analysis/4s0LlMTMlsd6OrrcWJeKMI,199555,4,Irenka,3RBWb4HlzXRG0pD0eHdnwF
8,Oh Wow___Hodak,2022-01-13 13:02,Hodak,Oh Wow,10390,2022-01-13 13:02:00,0.81,0.276,1,-11.99,1,0.365,0.0925,0.0,0.13,0.282,150.04,audio_features,4CoG5UcyhTLS6DGmSS3Tix,spotify:track:4CoG5UcyhTLS6DGmSS3Tix,https://api.spotify.com/v1/tracks/4CoG5UcyhTLS6DGmSS3Tix,https://api.spotify.com/v1/audio-analysis/4CoG5UcyhTLS6DGmSS3Tix,196680,4,Custom,6AHKsjGrQnVLe1H7XMnn9p
9,Więcej___DZIARMA,2022-01-13 13:12,DZIARMA,Więcej,189573,2022-01-13 13:12:00,0.754,0.616,8,-6.965,1,0.249,0.0123,1.34e-06,0.108,0.54,123.983,audio_features,6jBrLo04QXIU561bEdZbkG,spotify:track:6jBrLo04QXIU561bEdZbkG,https://api.spotify.com/v1/tracks/6jBrLo04QXIU561bEdZbkG,https://api.spotify.com/v1/audio-analysis/6jBrLo04QXIU561bEdZbkG,189573,4,DZIARMA,3M2jL4tMc6m3aIFYm7MpAk
10,Live___Billie Marten,2022-01-13 13:53,Billie Marten,Live,0,2022-01-13 13:53:00,0.332,0.319,4,-11.599,1,0.0434,0.832,0.00027,0.107,0.273,174.861,audio_features,2dJuyVPol0mFK9uf7aCpAc,spotify:track:2dJuyVPol0mFK9uf7aCpAc,https://api.spotify.com/v1/tracks/2dJuyVPol0mFK9uf7aCpAc,https://api.spotify.com/v1/audio-analysis/2dJuyVPol0mFK9uf7aCpAc,243973,3,Writing of Blues and Yellows (Deluxe Version),3WHmv6ghPoM7oA0rP6jMkT
