,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
0,Santa Fe___Jeremy Jordan,2022-12-08 16:08,Jeremy Jordan,Santa Fe,129361,2022-12-08 16:08:00,0.408,0.302,7,-11.699,1,0.0456,0.76,0.0,0.0832,0.283,96.457,audio_features,6aWJOPC5gpjTpRiyvrFOQm,spotify:track:6aWJOPC5gpjTpRiyvrFOQm,https://api.spotify.com/v1/tracks/6aWJOPC5gpjTpRiyvrFOQm,https://api.spotify.com/v1/audio-analysis/6aWJOPC5gpjTpRiyvrFOQm,192148,3,Newsies (Original Broadway Cast Recording),3hqYvu1aBkroLKzkGM5DSk
1,Breathe___'In The Heights' Original Broadway Company,2022-12-09 06:50,'In The Heights' Original Broadway Company,Breathe,28507,2022-12-09 06:50:00,0.329,0.365,9,-9.023,1,0.0474,0.364,0.0,0.334,0.202,172.02,audio_features,6eHA7Fw7JcrmhY5SZK9Rzx,spotify:track:6eHA7Fw7JcrmhY5SZK9Rzx,https://api.spotify.com/v1/tracks/6eHA7Fw7JcrmhY5SZK9Rzx,https://api.spotify.com/v1/audio-analysis/6eHA7Fw7JcrmhY5SZK9Rzx,246053,3,In The Heights (Original Motion Picture Soundtrack),0F3HOT0E0Jj2MSnPm6tq4n
2,Breathe (feat. Rubén Blades and Doreen Montalvo)___Leslie Grace,2022-12-09 06:54,Leslie Grace,Breathe (feat. Rubén Blades and Doreen Montalvo),246052,2022-12-09 06:54:00,0.329,0.365,9,-9.023,1,0.0474,0.364,0.0,0.334,0.202,172.02,audio_features,6eHA7Fw7JcrmhY5SZK9Rzx,spotify:track:6eHA7Fw7JcrmhY5SZK9Rzx,https://api.spotify.com/v1/tracks/6eHA7Fw7JcrmhY5SZK9Rzx,https://api.spotify.com/v1/audio-analysis/6eHA7Fw7JcrmhY5SZK9Rzx,246053,3,In The Heights (Original Motion Picture Soundtrack),0F3HOT0E0Jj2MSnPm6tq4n
3,No Me Diga___Daphne Rubin-Vega,2022-12-09 06:55,Daphne Rubin-Vega,No Me Diga,17436,2022-12-09 06:55:00,0.497,0.474,8,-6.964,1,0.073,0.541,0.0,0.0942,0.945,163.661,audio_features,0ystGIV4kUJf6GIhgc6b6N,spotify:track:0ystGIV4kUJf6GIhgc6b6N,https://api.spotify.com/v1/tracks/0ystGIV4kUJf6GIhgc6b6N,https://api.spotify.com/v1/audio-analysis/0ystGIV4kUJf6GIhgc6b6N,144599,4,In The Heights (Original Motion Picture Soundtrack),0F3HOT0E0Jj2MSnPm6tq4n
4,Benny's Dispatch___Leslie Grace,2022-12-09 06:55,Leslie Grace,Benny's Dispatch,554,2022-12-09 06:55:00,0.674,0.562,6,-8.501,0,0.216,0.00598,0.0,0.108,0.256,91.908,audio_features,5ZTuSZiQfauqYcGt3rVaV2,spotify:track:5ZTuSZiQfauqYcGt3rVaV2,https://api.spotify.com/v1/tracks/5ZTuSZiQfauqYcGt3rVaV2,https://api.spotify.com/v1/audio-analysis/5ZTuSZiQfauqYcGt3rVaV2,140888,4,In The Heights (Original Motion Picture Soundtrack),0F3HOT0E0Jj2MSnPm6tq4n
5,Breathe (feat. Rubén Blades and Doreen Montalvo)___Leslie Grace,2022-12-09 06:55,Leslie Grace,Breathe (feat. Rubén Blades and Doreen Montalvo),23,2022-12-09 06:55:00,0.329,0.365,9,-9.023,1,0.0474,0.364,0.0,0.334,0.202,172.02,audio_features,6eHA7Fw7JcrmhY5SZK9Rzx,spotify:track:6eHA7Fw7JcrmhY5SZK9Rzx,https://api.spotify.com/v1/tracks/6eHA7Fw7JcrmhY5SZK9Rzx,https://api.spotify.com/v1/audio-analysis/6eHA7Fw7JcrmhY5SZK9Rzx,246053,3,In The Heights (Original Motion Picture Soundtrack),0F3HOT0E0Jj2MSnPm6tq4n
6,In The Heights___Lin-Manuel Miranda,2022-12-09 07:02,Lin-Manuel Miranda,In The Heights,461638,2022-12-09 07:02:00,0.622,0.468,5,-7.146,1,0.435,0.516,0.0,0.337,0.692,170.878,audio_features,4dS1QQw8askb1KSDLCKuvK,spotify:track:4dS1QQw8askb1KSDLCKuvK,https://api.spotify.com/v1/tracks/4dS1QQw8askb1KSDLCKuvK,https://api.spotify.com/v1/audio-analysis/4dS1QQw8askb1KSDLCKuvK,458907,4,In the Heights (Original Broadway Cast Recording),3VPHalWocJfe7VfbEW60zg
7,No Me Diga___Daphne Rubin-Vega,2022-12-09 07:03,Daphne Rubin-Vega,No Me Diga,634,2022-12-09 07:03:00,0.497,0.474,8,-6.964,1,0.073,0.541,0.0,0.0942,0.945,163.661,audio_features,0ystGIV4kUJf6GIhgc6b6N,spotify:track:0ystGIV4kUJf6GIhgc6b6N,https://api.spotify.com/v1/tracks/0ystGIV4kUJf6GIhgc6b6N,https://api.spotify.com/v1/audio-analysis/0ystGIV4kUJf6GIhgc6b6N,144599,4,In The Heights (Original Motion Picture Soundtrack),0F3HOT0E0Jj2MSnPm6tq4n
8,Benny's Dispatch___Leslie Grace,2022-12-09 07:03,Leslie Grace,Benny's Dispatch,21051,2022-12-09 07:03:00,0.674,0.562,6,-8.501,0,0.216,0.00598,0.0,0.108,0.256,91.908,audio_features,5ZTuSZiQfauqYcGt3rVaV2,spotify:track:5ZTuSZiQfauqYcGt3rVaV2,https://api.spotify.com/v1/tracks/5ZTuSZiQfauqYcGt3rVaV2,https://api.spotify.com/v1/audio-analysis/5ZTuSZiQfauqYcGt3rVaV2,140888,4,In The Heights (Original Motion Picture Soundtrack),0F3HOT0E0Jj2MSnPm6tq4n
9,Breathe (feat. Rubén Blades and Doreen Montalvo)___Leslie Grace,2022-12-09 07:03,Leslie Grace,Breathe (feat. Rubén Blades and Doreen Montalvo),608,2022-12-09 07:03:00,0.329,0.365,9,-9.023,1,0.0474,0.364,0.0,0.334,0.202,172.02,audio_features,6eHA7Fw7JcrmhY5SZK9Rzx,spotify:track:6eHA7Fw7JcrmhY5SZK9Rzx,https://api.spotify.com/v1/tracks/6eHA7Fw7JcrmhY5SZK9Rzx,https://api.spotify.com/v1/audio-analysis/6eHA7Fw7JcrmhY5SZK9Rzx,246053,3,In The Heights (Original Motion Picture Soundtrack),0F3HOT0E0Jj2MSnPm6tq4n
